Campus,Título, Nome Coordenador, 
Araçuaí,Plataforma Virtual Indígena: Valorização Cultural e Identitária do Povo Pankararu Pataxó do Vale do Jequitinhonha,Lillian Gonçalves de Melo,
Araçuaí,Artesanato Vale do Jequitinhonha: Estratégias de Marketing e Promoção do Empreendedorismo Social,Kennya de Lima Ribeiro,
Araçuaí,Implantação da Plataforma Espinhaço no IFNMG,Arthur Machado França de Almeida,
Arinos,Avaliação do potencial de plantas nativas do cerrado para formação de bonsais.,Cinthia Gracielly Rodrigues,
Arinos,O estudo da evasão escolar no curso de sistemas de informação do IFNMG- Campus Arinos,Diego Viana Porto,
Arinos,Produção de mudas de Corymbia Citriodora e Eucalipto Camaldulensis em diferentes concentrações de substrato orgânico.,Francisco Valdevino Bezerra Neto,
Arinos,Avaliação do desempenho de aves alimentadas com polpa de baru.,Diogo de Moraes Cardoso,
Arinos,"Influência do espaçamento e densidade na produtividade e propriedades organoléticas da melancia amarela sem sementes, na região vale do Urucuia.",Rildo Araújo Leite,
Arinos,Pesquisa da qualidade microbiológica do leite cru produzido na comunidade do Bonito em Urucuia/MG após a aplicação de Boas Práticas para obtenção higiênica do leite.,Gustavo Rodrigues Morgado,
Arinos,IFNMG online: Estudantes e a adiccção em internet no Campus Arinos,Camila Molina Palles,
Arinos,Inteligência Emocional e suas Relações com o Desempenho Acadêmico,Valdinice Ferreira da Mota,
Arinos,Análise da Aplicabilidade da Avaliação de Desempenho no IFNMG Campus Arinos/MG,Valdinice Ferreira da Mota,
Arinos,Clima Organizacional e Satisfação no Trabalho nas Agências Bancárias de Arinos/MG,Christiane Oliveira Valente,
Arinos,Inserção dos Egressos do Curso Bacharelado em Administração do IFNMG Campus Arinos no Mercado de Trabalho,Christiane Oliveira Valente,
Arinos,Delineamento do Empreendedorismo Feminino na Chapada Gaúcha/MG,Christiane Oliveira Valente,
Arinos,Análise do Nível de Inteligência Emocional dos Graduandos dos Cursos Superiores do Instituto Federal do Norte de Minas Gerais – IFNMG Campus Arinos,Christiane Oliveira Valente,
Arinos,Impacto do Programa Nacional de Assistência Estudantil (PNAES) na Permanência dos Alunos dos Cursos de Nível Superior do IFNMG Campus Arinos,Josué Batista Reis Junior,
Arinos,Acesso e Permanência no Ensino Superior : Um Estudo com os Discentes de Administração – IFNMG Campus Arinos,Priscila Franco Binato,
Arinos,Procedência de Produtos Cárneos in Natura no Município de Arinos -MG,Diogo de Moraes Cardoso,
Arinos,Uso de Agrotóxicos em um Assentamento Rural de Uruana de Minas – MG,Diogo de Moraes Cardoso,
Arinos,Cooperativismo Agropecuário na Microrregião do Vale Urucuia: Um estudo da Percepção dos Cooperados da Copabase,Graciela Maria Miranda Borges,
Arinos,Logística Reversa: Ferramenta de Aplicação do Descarte dos Resíduos Sólidos em uma Instituição de Ensino,Graciela Maria Miranda Borges,
Arinos,Marketing Digital Teorias e Práticas Organizacionais: Um Estudo Bibliométrico,Cristiane Oliveira Valente,
Arinos,"A Centralidade Educacional do Instituto Federal do Norte de Minas, Campus Arinos, no Vale do Urucuia",Camila Molina Palles,
Arinos,Importância da Silagem de Sorgo,Inácio Barbosa Borges,
Arinos,Dosagens de Fósforo e Inoculação com Bradyrhizobium nas Característica Agronômicas do Feijão-caupi,Inácio Barbosa Borges,
Arinos,Avaliação do Sorgo Granífero Submetido a Diferentes Dosagens de Nitrogênio e Potássio,Inácio Barbosa Borges,
Arinos,Estudo da Eficiência de Fertilizantes Biológicos (Barvar) na Substituição Total ou Parcial de Fertilizantes Minerais,Inácio Barbosa Borges,
Arinos,Importância do MIP na Conservação da Transgenia do Algodão,Inácio Barbosa Borges,
Arinos,Taxa de Acumulação de matéria Seca da Soja sobre os Restos Vegetais da Cultura do Sorgo,Inácio Barbosa Borges,
Arinos,Híbridos para a Produção de Milho Verde no Município de Arinos -MG,Inácio Barbosa Borges,
Arinos,Controle da Ferrugem do Cafeeiro,Inácio Barbosa Borges,
Arinos,Estudo de Aplicação da Realidade Virtual e a Aumentada no Ensino Médio Integrado do IFNMG Campus Arinos como Ferramenta Complementar ao Ensino,Danilo Silveira Martins,
Arinos,Gestão do Programa Nacional de Alimentação Escolar: Estudo de Caso na Prefeitura Municipal de Arinos/MG,Elza Cristiny Carneiro Batista,
Arinos,Efeito do Tratamento de Semente de Algodão na Qualidade Fisiológica e Sanitária,Luana da Silva Botelho,
Arinos,Sistema de Controle e Gerenciamento de Estoque,Claudianne Myllene Morais de Almeida,
Arinos,Sistema de Auxílio e Gerenciamento de Práticas Esportivas do Núcleo de Educação Física do IFNMG Campus Arinos/MG,Claudianne Myllene Morais de Almeida,
Arinos,CAJUI APP: Proposta de Aplicativo Mobile para o Sistema Cajuí,Claudianne Myllene Morais de Almeida,
Arinos,Controle de Plantas Daninhas na Cafeicultura,Inácio Barbosa Borges,
Arinos,Sistemas de Irrigação Utilizados no Cultivo de Café no Brasil,Inácio Barbosa Borges,
Arinos,Avaliação de Cultivares da Soja sobre a Palhada da Branquiária,Inácio Barbosa Borges,
Diamantina,Cartografia Catrumana: Povos e comunidades tradicionais do norte de Minas e Vale do Jequitinhonha.,Sérgio Leandro Sousa Neves,
Diamantina,A Segunda Guerra Mundial em Tela,Dayse Lúcide Silva Santos,
Diamantina,Avaliação Fisiológica de Mudas de Clona Híbrido de Eucalyptus urophylla Produzido em Diferentes Condicionadores de Solo,Emerson Delano Lopes,
Diamantina,As Camélias da Segunda Abolição: Pensamento Político Brasileiro e o Brandir da Intelectualidade Negra,Carla Pereira Silva,
Janaúba,O perfil das organizações da sociedade civil de Janaúba/MG,Tarso Guilherme Macedo Pires,
Janaúba,Brincando com as moléculas,Farley Jean de Sousa,
Janaúba,Desenvolvimento de um jogo envolvendo história em quadrinhos,Júlio Cézar Barbosa Rocha,
Janaúba,Letramento de internacionalização: Mobilidade docente e formação crítica de professores de línguas adicionais,Lauro Sérgio Machado Pereira,
Janaúba,Caracterização Socioeconômica dos municípios da área de abrangência do Campus Avançado Janaúba e do Campus Avançado Porteirinha no Instituto Federal do Norte de Minas Gerais.,Fabrício Silva Ribeiro,
Janaúba,IFNMG online: Estudantes e a adiccção em internet no Campus Janaúba,Marineide Almeida Rocha,
Janaúba,Laboratório didático de física tendo como plataforma Raspberry Pi,Júlio Cézar Barbosa Rocha,
Janaúba,Serviço Web para avaliação automática de exercícios de programação,Felipe Cézar de Castro Antunes,
Janaúba,Robô Didático para Ensino de Física,Felipe Cézar de Castro Antunes,
Januária,Índice de transparência pública: uma análise nos municípios da microrregião mineira de Januária.,Eduardo Cabral da Cruz,
Januária,Perfil socioeconômico dos feirantes que comercializam hortaliças na feira livre do município de Januária/MG.,Eduardo Cabral da Cruz,
Januária,Crescimento de abacaxizeiros em solos alcalinos e ácidos adubados com nitrogênio e irrigados com água calcária e não calcária.,Dilermando Dourado Pacheco,
Januária,A inadimplência versus Consultoria Empresarial,Eduardo Cabral da Cruz,
Januária,A Influência da programação neolinguística- pnl nas vendas.,Elder Lisboa Souza,
Januária,Gestão de pessoas: Análise do clima Organizacional na Prefeitura de Januária/MG,Eduardo Cabral da Cruz,
Januária,Pessoas com deficiências: Uma análise do cumprimento da legislação e suas implicações nas empresas privadas de Januária.,Francisco Farlei de Carvalho Lisboa,
Januária,O grau de empreendedorismo no perfil de formação dos acadêmicos das instituições de ensino superior presencial.,Érica Souza Tupiná,
Januária,Avaliação dos processos de trabalho da porta de entrada de um hospital público do Norte de Minas Gerais.,Érica Souza Tupiná,
Januária,Políticas Públicas de combate à pobreza através de programas de transferência de renda.,Felipe Lisboa Guedes,
Januária,Análise da remuneração salarial entre os homens e as mulheres ocupantes dos cargos de gestão nas empresas da cidade de Januária/MG,Francisco Farlei de Carvalho Lisboa,
Januária,Qualidade do atendimento do setor de secretaria de Registros Acadêmicos do IFNMG Campus Januária na perspectiva dos usuários.,Érica Souza Tupiná,
Januária,Custo de vida e cesta básica em Januária/MG,Felipe Lisboa Guedes,
Januária,Consumo de energia elétrica nas residências dos alunos do 2º ano do curso técnico em Meio Ambiente Integrado.,Adenise Vieira de Souza,
Januária,Evolução do sistema de gerenciamento de estágios do IFNMG- Campus Januária.,Cleiane Gonçalves Oliveira,
Januária,Uso de sistema de informação para aumento da eficiência no gerenciamento dos auxílios do programa de assistência e apoio aos estudantes do IFNMG- Campus Januária.,Cleiane Gonçalves Oliveira,
Januária,Protótipo de Quarteador de amostras de grãos e sementes,Wagner da Cunha Siqueira,
Januária,Manejo de plantas invasoras com metabólitos de microrganismos endofíticos e de solo.,Tatiana Tozzi Martins Souza Rodrigues ,
Januária,"Desenvolvimento, produção e incidência de pragas e doenças em Milho tratado com organomineral.",Tatiana Tozzi Martins Souza Rodrigues ,
Januária,Responsabilidade socioambiental uma estratégia para atrair e fidelizar clientes dos mercados do município de Januária-MG,Soraia Ataíde L. Frota,
Januária,Análise da eficácia da educação financeira infantil no comportamento financeiro de estudantes do ensino fundamental II,Eduardo Cabral da Cruz,
Januária,"Fatores ambientais e sociais que contribuem para a prevalência de esquistossomose no Distrito do Brejo do Amparo, município de Januária/MG",Luiz Carlos Ferreira ,
Januária,Análise Econômico- Financeira das Empresas Brasileiras de Saneamento com Capital Aberto,Eduardo Cabral da Cruz,
Januária,A Língua Brasileira de Sinais (LIBRAS) no curso técnico de enfermagem do IFNMG: (RE)significando a percepção dos alunos em relação à comunicação com os surdos na atenção á saúde.,Caio Bruno wetterich,
Januária,A evasão na Educação Técnica Profissional: Uma análise de indicadores dos cursos do ensino médio integrado do Instituto Federal do Norte de Minas Gerais- Campus Araçuaí.,Caio Bruno wetterich,
Januária,"Efeito de um adsorvente de micotoxinas sobre o desempenho, os metabólitos séricos e o estresse oxidativo em porcas gestantes e lactantes ",Wagner Aziz Garcia de Araújo,
Januária,Influência da Evapotranspiração na Eficiência de Tratamento de Água Residuária Salina em Sistemas Alagados Construídos ,Danilo Pereira Ribeiro,
Januária,Desempenho Produtivo e Acúmulo de Molibdênio em Sementes de Feijão Caupi ( Vigna unguiculata L. WALP.) submetido à adubação foliar molibídica e eficiência da fixação biológica do nitrogênio ,Luiz Carlos Ferreira ,
Januária,"Densidade Populacional e Morfologia Radicular de Linhagens de Feijão Caupi ( Vigna unguiculata  ), no Semiárido do Norte de Minas Gerais ",Claubert Wagner Guimarães de Menezes,
Januária,Comportamento Produtivo de Genótipos de Girassol Cultivados em Januária Norte de Minas Gerais Safra 2019/2020,Aroldo Gomes Filho,
Januária,"Caracterização e Mapeamento do Uso e Ocupação do Solo no Riacho da Cruz, Bacia do Alto Médio São Francisco ",Antônio Fábio Silva Santos,
Januária,Evolução de um Jogo Digital Educacional para o Auxílio à Prevenção da Interdisciplina nas Séries Iniciais do Ensino Fundamental ,Joselice Ferreira Lima,
Januária,Efeito do Óleo Essencial de Cybpogom flexuosus (POACEAE) no Controle de Sitophilus zeamais (COLEOPTERA: CURCULIONIDADAE) e na Germinação de Zea mays (POACEAE) ,Clináscia Rodrigues Araújo Rocha,
Januária,Descrição das Propriedades Físicas do Feijão Mungo (Vigna Radiata) Cultivado na Região do Semiárido de Minas Gerais,Wagner da Cunha Siqueira,
Januária,Sistema de Sensoriamento Remoto de Baixo Custo para Recomendação de Adubo Nitrogenado a Taxa Variada na Cultura do Milho,Selma Alves Abrahão,
Januária,Estudo Sistemático Sobre a Estrutura Energéticas dos Níveis de Energia Stark em Sistemas ,Yuri Alisson Rodrigues de Oliveira,
Januária,Desenvolvimento de um Jogo Digital Educativo para o Ensino de Matemática,Daniel Martins Nunes,
Januária,Detecção da Presença de Agrotóxicos em Amostras de Feijão Carioca Através da Análise de Imagens de Fluorescência ,Caio Bruno wetterich,
Januária,Espaço e Tempo de Produção de Conhecimento: O Teatro e a Autoria da Cena,Elisa Martins Belém Vieira,
Januária,Determinação das Perdas de Água por Escomaneto Superficial Direto na Bacia Hidrográfica do Rio Pandeiros Por Meio de Modelagem Hidrológica ,Danilo Pereira Ribeiro,
Januária,Avaliação do Uso de um Probiótico (Techno Spore) como Aditivo em Dietas de Frangos de Corte para Melhorar o Desempenho e o Estado Sanitário,Wagner Aziz Garcia de Araújo,
Januária,Elaboração de um Software Educacional para Auxílio ao Processo de Ensino Enfermagem ,Karine Alencar Fróes,
Januária,Sustentabilidade e Gestão Pública dos Resíduos Sólidos Urbanos do Municípios de Januária – MG,Aelejancer Barbosa Macedo,
Januária,Uso da Válvula de Pneu sem Câmara em Substituição às Tomadas de Pressão Comerciais em Tubulações de PVC ,Antônio Fábio Silva Santos,
Januária,A Utilização de Sacos Plásticos em Substituição Parcial do Agregado Graúdo de Concretos Convencionais ,Pablo Henrique Ataíde Oliveira,
Januária,Determinação da Resistência do Concreto Dosado com os Traços mais Utlizados no Município de Januária/ MG – Concreto Virado em Obra. ,Áureo da Silva Santos,
Januária,Inoculação de Azospirillum brasiliense na Cultura da Melancia ( Citrullus lanatus) no semiárido de Minas Gerais ,Luiz Carlos Ferreira ,
Januária,Adubação Nitrogenada em Cobertura de Amendoim CV. Runner IAC 886 e Viabilidade Econômica no Semiárido Mineiro,Aroldo Gomes Filho,
Januária,Produção de Tilápias ( Orecheromis niloticus ) em Fluxo Contínuo de Águas Recirculantes Sob Diferentes Estocagens ,Wagner da Cunha Siqueira,
Januária,Análise do Desempenho dos Alunos de Cursos Superiores em Computação no ENADE – Uma Abordagem Usando Mineração de Dados,Raphael Magalhães Hoed,
Januária,Elaboração do Protótipo de um Mouse para Acessibilidade de Pessoas Portadoras de Tremores Essenciais e Parkinsinianos ao Ambiente Computacional ,Flipe Augusto Oliveira Mota,
Januária,Tratamento de Águas Duras por Meio de Radiofrequência,Mário da Silva Araújo Filho,
Januária,Diferentes Métodos para a Superação de Dormência de Sementes de Pequizeiro ,Rodrigo Amato Moreira,
Januária,Comportamento Financeiro dos Universitários de Administração do IFNMG – Campus Januária: Uma análise do perfil de compra e dos fatores que podem influenciar o endividamento ,Edson Oliveira Nunes,
Januária,Os Temas Transversais: A orientação Sexual nos Anos Finais do Ensino Fundamental nas Escolas Urbanas de Januária MG,Cláudio Wilson dos Santos Pereira,
Januária,ECOinovação: Redução de Impactos Ambientais e Custo-benefício da Substituição de Materiais Descartáveis por Reutilizáveis,Shirley Mirone Martins Guimarães,
Januária,Teste de Preferência Alimentar por Resíduos Agroindustriais para a Produção de Tenebrio Molitor ,Lílian Betânia Reis Amaro,
Januária,Avaliação de Genótipos de Beterraba de Mesa sob Sistema Orgânico de Produção em Januária ,Nelson Licínio Campos de Oliveira,
Januária,Produtividade de Abobrinha Italiana em Função da Adubação Nitrogenada ,Nelson Licínio Campos de Oliveira,
Januária,Utilização da Fotografia Científica na Botânica,Lílian Betânia Reis Amaro,
Januária,Gestão de Pessoas em Micro Empresas: Estratégias de Potencialização do Capital Humano,Edson Oliveira Neves,
Januária,Proposta de Sistema para Gestão do Estágio Curricular Supervisionado Obrigatório do Curso Técnico em Enfermagem do IFNMG – Campus Januária,Felipe Augusto Oliveira Mota,
Januária,Aspectos da Qualidade Microbiológica da Água para Consumo Humano e Irrigação em uma Comunidade Rural ,Luiz Carlos Ferreira ,
Januária,A Relação Professor/ Aluno na Licenciatura,Joelma de Fátima Mendes Bandeira,
Januária,"Impacto da Crise Econômica de 2-15, 2016 e 2017 no Nível de Emprego do Município de Januária/MG",Felipe Lisboa Guedes,
Januária,Uso da Metodologia de Ensino -Aprendizagem -Avaliação de Matemática através da Resolução de Problema na Formação do Professor de Matemática,Egídio Rodrigues Martins,
Januária,Desenvolvimento de um Aplicativo Educacional para o Auxílio à Comunidade Acadêmica do Campus Januária,Felipe Augusto Oliveira Mota,
Januária,Caracterização da Rede de Usuários de Grupos Públicos Brasileiros do Whatsapp,Hélder Seixas Lima,
Januária,Sistema de Sensoriamento Remoto de Baixo Custo para Classificar Teor de Clorofila Foliar e Produtividade do Feijão,Selma Alves Abrahão,
Januária,Correlação entre a Lucratividade Contábil e o Preço das Ações,Felipe Lisboa Guedes,
Januária,Proposta de Inovação Utilizando Cashback como Programa de Fidelização de Clientes de um Supermercado ,Shirley Mirone Martins Guimarães,
Januária,Estratégias Inovadoras para Finalizar Clientes: Estudo de Caso Numa Loja de Confecção Infantil de Januária – MG,Shirley Mirone Martins Guimarães,
Januária,Importância da Inovação no Processo Competitivo de Micro e Pequenas Empresas,Shirley Mirone Martins Guimarães,
Januária,"Assessoria em Marketing Digital, Como Meio Inovador Para Alavancar Vendas nas Redes Sociais de Micro e Pequenos Empreendimentos",Shirley Mirone Martins Guimarães,
Januária,Como um Sistema de Controle pode Inovar a Prestação de Serviços numa Cidade do Interior de Minas Gerais ,Selma Alves Abrahão,
Januária,Análise da Utilização dos Sistemas de Informações Gerencial nas Empresas de Januária,Francisco Farlei de Carvalho Lisboa ,
Januária,Processo Sucessório em Empresa Familiar: Mapeamento dos Estudos mais Relevantes sobre o Tema,Edson Oliveira Neves,
Januária,Educação Alimentar nas Escolas da Rede Estadual de Ensino da Cidade de Pedras de Maria da Cruz-MG ,Luiz Carlos Ferreira ,
Januária,Caracterização Biológica de Bactérias Endofíticas e seu Potencial de Controle de Sclerotinia sclerotiorum em Soja ,Tatiana Tozzi Martins Souza Rodrigues ,
Januária,Biossolubilização de Fósforo e Potássio por Bactérias Endofíticas Isoladas de Sementes Stylosanthers SPP ,Tatiana Tozzi Martins Souza Rodrigues ,
Januária,Avaliação de Propriedades Físicas de Grãos de Milho da Variedade Crioulo Cultivados na Região do Norte de Minas Gerais,Wagner da Cunha Siqueira,
Januária,"Determinação da Massa Específica, Porosidade e Peso Hectolitro de Grãos de Milho em Diferentes Teores de Umidade",Wagner da Cunha Siqueira,
Januária,Diferentes Métodos de Superação de Dormência de Sementes de Umbuzeiro ,Rodrigo Amato Moreira,
Januária,Qualidade da Água Armazenada em Cisternas de Placas de uma Comunidade Rural do Município de Bonito de Minas – MG,Luiz Carlos Ferreira ,
Januária,Qualidade na Prestação de Serviços: Aplicação do Modelo Servqual na Rede de Hotéis em Januária – MG,Érica Souza Tupiná,
Januária,Proposta de um Sistema para Micro-Pequenas Oficinas Mecânicas,Danilo Magalhães Nunes,
Januária,Desenvolvimento de um Sistema para Monitoramento Automático de Trânsito em Cidades e Rodovias ,Matheus Silveira Borges,
Januária,Levantamento e Análise dos Relatórios de Sondagem por SPT Executados na Área Central do Município de Januária-MG,Rodrigo Marques do Nascimento,
Januária,Análise do Uso das Tecnologias Digitais da Informação Comunicação e Metodologias Ativas pelos Docentes das Escolas Públicas Estaduais de Januária,Gustavo Linhares Lélis Frota,
Januária,Medida do índice de Refração em Diferentes Tipos de Materiais ,Caio Bruno wetterich,
Januária,Produção de Módulo Didático para o Ensino de Operações com Números Reais ,Daniel Martins Nunes,
Januária,Produção de Módulo Didático para o Ensino de Operações com Números Reais ,Adenise Vieira de Souza,
Januária,"Perfil das Internações Hospitalares por Condições Sensíveis a Atenção Primária na Rede de Atenção Hospitalar de Januária, MG",Thatiane Lopes Oliveira,
Januária,Perfil de Saúde e Qualidade de Vida dos Trabalhadores do IFNMG – Campus Januária,Karla Jaciara Vieira Damasceno Abreu,
